City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Huarmey,PE,2022-01-04 03:29:43,-10.0681,-78.1522,69.21,88,70,5.48,broken clouds
240,Hatillo,PR,2022-01-04 03:29:43,18.4863,-66.8254,75.78,87,7,1.99,clear sky
241,Avera,US,2022-01-04 03:29:43,33.194,-82.5271,42.71,64,3,5.17,clear sky
242,Chokurdakh,RU,2022-01-04 03:29:44,70.6333,147.9167,-31.36,97,18,8.95,few clouds
243,Serro,BR,2022-01-04 03:29:44,-18.6047,-43.3794,66.88,98,100,2.3,overcast clouds
244,Lebu,CL,2022-01-04 03:29:44,-37.6167,-73.65,60.19,97,100,4.34,overcast clouds
245,Mount Isa,AU,2022-01-04 03:29:45,-20.7333,139.5,103.77,18,51,8.05,broken clouds
246,Vardo,NO,2022-01-04 03:29:45,70.3705,31.1107,22.93,58,100,14.76,overcast clouds
247,Vila Velha,BR,2022-01-04 03:29:45,-20.3297,-40.2925,76.95,90,75,8.99,broken clouds
248,Severo-Yeniseyskiy,RU,2022-01-04 03:29:45,60.3725,93.0408,2.59,96,100,4.29,overcast clouds
249,Samarai,PG,2022-01-04 03:29:46,-10.6167,150.6667,86.4,67,98,8.81,overcast clouds
250,Hofn,IS,2022-01-04 03:29:46,64.2539,-15.2082,27.59,61,6,21.16,clear sky
251,Castro,BR,2022-01-04 03:29:46,-24.7911,-50.0119,64.47,96,79,7.23,broken clouds
252,Det Udom,TH,2022-01-04 03:29:46,14.906,105.0784,80.91,59,51,1.5,broken clouds
253,Unity,CA,2022-01-04 03:29:47,52.4501,-109.1682,-6.75,98,100,15.73,snow
254,Upernavik,GL,2022-01-04 03:29:47,72.7868,-56.1549,-7.91,84,14,7.27,few clouds
255,Jaciara,BR,2022-01-04 03:27:50,-15.9653,-54.9683,71.69,93,57,2.93,broken clouds
256,Lyuban,BY,2022-01-04 03:29:47,52.7985,28.0048,36.1,96,99,9.75,overcast clouds
257,Pacific Grove,US,2022-01-04 03:29:48,36.6177,-121.9166,54.09,82,90,11.01,overcast clouds
258,Kavaratti,IN,2022-01-04 03:29:48,10.5669,72.642,81.93,69,12,8.57,few clouds
259,Mana,GF,2022-01-04 03:29:48,5.6592,-53.7767,75.94,84,11,8.93,few clouds
260,Kiunga,PG,2022-01-04 03:29:48,-6.1219,141.2906,87.98,66,51,5.73,broken clouds
261,Barcelos,PT,2022-01-04 03:29:49,41.5388,-8.6151,58.84,75,34,14.85,scattered clouds
